"","id","name","description","menus_appeared","times_appeared","first_appeared","last_appeared","lowest_price","highest_price"
"1",1,"Consomme printaniere royal",NA,8,8,1897,1927,0.2,0.4
"2",2,"Chicken gumbo",NA,111,117,1895,1960,0.1,0.8
"3",3,"Tomato aux croutons",NA,13,13,1893,1917,0.25,0.4
"4",4,"Onion au gratin",NA,41,41,1900,1971,0.25,1
"5",5,"St. Emilion",NA,66,68,1881,1981,0,18
"6",7,"Radishes",NA,3263,3347,1854,2928,0,25
"7",8,"Chicken soup with rice",NA,48,49,1897,1961,0.1,0.6
"8",9,"Clam broth (cup)",NA,14,16,1899,1962,0.15,0.4
"10",11,"Clear green turtle",NA,157,157,1893,1937,0.25,60
"12",13,"Anchovies",NA,453,484,1858,1987,0,30
"13",14,"Fresh lobsters in every style",NA,4,4,1899,1900,0,0
"14",15,"Celery",NA,4246,4691,1,2928,0,50
"15",16,"Pim-olas",NA,145,148,1897,1918,0.15,35
"16",17,"Caviar",NA,506,535,1880,1987,0,75
"17",18,"Sardines",NA,1426,1484,1856,2928,0,50
"18",19,"India chutney",NA,16,16,1865,1901,0.1,0.2
"19",20,"Pickles",NA,453,472,1852,1987,0,10
"20",21,"English walnuts",NA,83,86,1851,1948,0.1,0.3
"21",22,"Pate de foies-gras",NA,9,9,1898,1901,1,1
"22",23,"Pomard",NA,11,11,1880,1950,0.75,5
"24",25,"Whitebait, sauce tartare",NA,4,4,1900,1901,0.3,0.75
"25",26,"Clams",NA,170,180,1881,1970,0.1,0.9
"26",27,"Oysters",NA,289,292,1862,1963,0,35
"28",29,"G. H. Mumm & Co's Extra Dry",NA,14,14,1895,1914,2,4
"30",31,"Sliced Bananas",NA,220,238,1900,1987,0,15
"32",33,"Sliced Tomatoes",NA,1195,1256,1873,2928,0,25
"34",35,"Smoked beef in cream",NA,21,21,1896,1933,0.3,0.9
"35",38,"Apple Sauce",NA,721,829,1,1987,0,20
"37",40,"Breakfast",NA,28,28,1900,1967,0.25,1
"38",41,"Strawberries",NA,304,339,1854,1985,0,50
"39",42,"Preserved figs",NA,257,259,1889,1969,0,30
"40",43,"BLUE POINTS",NA,868,891,1881,1968,0.15,50
"42",45,"CREAM OF CAULIFLOWER",NA,18,18,1899,1949,0.1,0.5
"43",46,"BROILED SHAD, A LA MAITRE D'HOTEL",NA,6,6,1896,1900,0,0
"44",47,"SLICED CUCUMBERS",NA,455,458,1881,1964,0,25
"45",48,"SALTED ALMONDS",NA,772,781,1889,2012,0,10
"47",50,"Cracked Wheat",NA,120,124,1859,1917,0.1,0.3
"48",51,"Malt Breakfast Food",NA,63,64,1899,1917,0.1,0.35
"50",53,"Young Onions",NA,157,157,1894,1949,0.05,10
"51",54,"Pears",NA,631,650,1852,1974,0,50
"52",55,"ROAST SIRLOIN OF BEEF, YORKSHIRE PUDDING",NA,11,12,1900,1974,0,0.75
"55",59,"Rockaways",NA,157,162,1889,1948,0.2,50
"57",61,"BROWNED POTATOES",NA,55,58,1893,1980,0.25,20
"60",64,"Ananas",NA,94,104,1884,1978,0,0.95
"62",66,"Grape fruit",NA,715,749,1895,1968,0,2540
"63",67,"Oranges",NA,1424,1480,1851,2012,0,25
"64",68,"Clam Fritters",NA,258,270,1880,1959,0.15,50
"71",76,"Chambertin",NA,238,250,1851,1977,0,250
"72",77,"St. Julien",NA,336,392,1851,1970,0,175
"73",78,"Vegetable",NA,108,116,1892,1987,0,1.75
"74",80,"Puree of split peas aux croutons",NA,11,11,1900,1917,0.05,0.35
"75",81,"Consomme in cup",NA,128,128,1896,1949,0,20
"76",82,"Broiled shad, Maitre d'hotel",NA,27,27,1889,1937,0.3,0.9
"77",83,"Mashed potatoes",NA,2580,2667,1852,2012,0,15
"78",84,"Breaded veal cutlet with peas",NA,3,3,1900,1900,0,0
"79",86,"Hind-quarter of spring lamb with stuffed tomatoes",NA,3,3,1900,1900,0,0
"81",88,"Doucette salad",NA,7,7,1900,1910,0,0
"82",89,"New beets",NA,134,139,1865,1981,0.05,0.5
"83",90,"Salisbury steak au cresson",NA,1,1,1900,1900,0,0
"84",91,"Boiled rice",NA,831,840,1859,1969,0,25
"85",92,"Stewed oyster plant",NA,28,28,1884,1901,0.1,0.4
"86",93,"Boiled onions, cream sauce",NA,46,48,1893,1940,0.05,0.45
"87",94,"Old fashioned rice pudding",NA,16,22,1899,1945,0.15,0.3
